,mediaTech.OPEN,mediaTech.HIGH,mediaTech.LOW,mediaTech.CLOSE,mediaTech.CHANGE,mediaTech.Returns,mediaTech.TRANSACTION,mediaTech.VOL
2006/3/6,343,354,343,350.5,9,0.0264,3970331,11366
2006/3/7,348,348.5,342,342,-8.5,-0.0243,2489424,7216
2006/3/8,341.5,345,332,335,-7,-0.0205,3456494,10228
2006/3/9,338,341.5,336,337,2,0.006,2019803,5972
2006/3/10,337,339,330.5,333.5,-3.5,-0.0104,2753260,8256
2006/3/13,338,343,333.5,343,9.5,0.0285,2261524,6685
2006/3/14,341,343,332.5,335.5,-7.5,-0.0219,2042725,6047
2006/3/15,340,353,339,353,17.5,0.0522,5093345,14631
2006/3/16,354,372.5,352,358,5,0.0142,9129196,25135
2006/3/17,362,369.5,361,368.5,10.5,0.0293,4911064,13410
2006/3/20,373,380,369,369,0.5,0.0014,5526749,14744
2006/3/21,371,374,350,354,-15,-0.0407,4356293,12100
2006/3/22,350,357.5,348,354.5,0.5,0.0014,2787550,7892
2006/3/23,358,363,354.5,356,1.5,0.0042,3735042,10415
2006/3/24,361,365,354,357,1,0.0028,3862273,10711
2006/3/27,363,363,358,360,3,0.0084,2112761,5860
2006/3/28,362,365,358,360.5,0.5,0.0014,2517847,6958
2006/3/29,363,376,363,373.5,13,0.0361,4920499,13235
2006/3/30,377,379,368,369,-4.5,-0.012,4743207,12693
2006/3/31,375,379,372,375.5,6.5,0.0176,4440564,11820
2006/4/3,378,379,375,375.5,0,0,2363652,6270
2006/4/4,378,387,376,376,0.5,0.0013,4543708,11920
2006/4/6,381,382,376.5,380,4,0.0106,3807131,10029
2006/4/7,380,381,373.5,375,-5,-0.0132,2495141,6623
2006/4/10,375,380,371.5,373,-2,-0.0053,1780219,4729
2006/4/11,376,377.5,371,377,4,0.0107,2010568,5361
2006/4/12,377,382,376,382,5,0.0133,2170071,5709
2006/4/13,385,385,372,372,-10,-0.0262,2400424,6353
2006/4/14,373,379,372,378,6,0.0161,1878206,4996
2006/4/17,377.5,377.5,365,365,-13,-0.0344,2237883,6071
2006/4/18,362,370,361,366.5,1.5,0.0041,1574675,4316
2006/4/19,370.5,373,360,366,-0.5,-0.0014,2968923,8109
