MovieID,Year,Class,G,PG,PG-13,R,NR,CompHigh,CompMed,CompLow,StarHigh,StarMed,StarLow,Sci_Fi,HistEpicDrama,ModernDrama,Political,Thriller,Horror,Comedy,Cartoon,Action,Docum,TechHigh,TechMedium,TechLow,Sequel,NoScreens,Revenue,LT_1M,1M_10M,10M_20M,20M_40M,40M_65M,65M_100M,100M_150M,150M_200M,GT_200M
68,2005,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1652,,0,0,1,0,0,0,0,0,0
69,2004,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2181,19053000,0,0,1,0,0,0,0,0,0
70,2005,4,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,3188,,0,0,0,1,0,0,0,0,0
71,2005,4,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,2608,,0,0,0,1,0,0,0,0,0
72,2005,6,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,3341,,0,0,0,0,0,1,0,0,0
73,2005,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1789,,0,0,1,0,0,0,0,0,0
74,2004,6,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3416,73702000,0,0,0,0,0,1,0,0,0
75,2005,4,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2583,,0,0,0,1,0,0,0,0,0
76,2004,4,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2721,37380000,0,0,0,1,0,0,0,0,0
77,2005,5,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1498,,0,0,0,0,1,0,0,0,0
78,2004,6,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3307,85374000,0,0,0,0,0,1,0,0,0
79,2005,5,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,3323,,0,0,0,0,1,0,0,0,0
80,2005,9,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,3910,,0,0,0,0,0,0,0,0,1
81,2004,5,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2744,48038000,0,0,0,0,1,0,0,0,0
82,2004,9,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,4166,373378000,0,0,0,0,0,0,0,0,1
83,2004,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2207,9304000,0,1,0,0,0,0,0,0,0
84,2004,3,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,272,16756000,0,0,1,0,0,0,0,0,0
