ARG,AUS,AUT,BEL,BRA,CAN,CHL,CHN,COL,CZE,DEU,DNK,EGY,ESP,FIN,FRA,GBR,GRE,HKG,HUN,IDN,IND,IRL,ISR,ITA,JPN,KOR,MAR,MEX,MYS,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,RUS,SGP,SWE,SWZ,TAW,THA,TUR,USA,ZAF
-0.030311,-0.073279,-0.06437,-0.079526,-0.168012,-0.055331,-0.054698,0.057157,0.050728,0.10635,-0.10516,-0.051644,0.057733,-0.022259,-0.090709,-0.079929,-0.0189,-0.036718,-0.143114,-0.066263,-0.524732,-0.115316,0.000336,-0.060928,-0.027748,-0.091242,-0.033044,0.034137,-0.08401,-0.361145,-0.105211,0.003328,-0.064809,-0.154188,-0.010128,-0.346525,0.100242,-0.066446,-0.055209,-0.091297,-0.056715,-0.098177,-0.042082,-0.415583,-0.027535,-0.062443,-0.044933
0.035902,0.044915,0.070291,0.054505,0.101789,0.055559,0.009899,-0.181884,0.046441,0.023391,0.073258,0.108314,0.034152,0.132729,0.16965,0.099644,0.080946,0.160821,0.058948,0.065057,0.070715,0.015859,0.029227,0.040903,0.134209,-0.01576,-0.104239,-0.003421,0.136608,-0.077613,0.082792,0.10274,0.04292,0.06205,0.002082,-0.126619,0.048118,0.125234,0.072881,0.036423,0.111997,0.096886,-0.1255,0.111524,0.20706,0.049708,-0.02283
-0.20738,-0.147154,-0.024285,-0.008414,-0.276685,-0.049594,-0.107763,-0.177224,-0.010491,-0.085976,-0.073449,-0.045781,-0.037632,-0.102516,-0.077706,-0.07031,-0.041097,-0.153959,-0.344135,-0.060316,-0.160591,-0.034887,-0.021306,-0.090213,-0.063564,-0.098363,-0.37478,0.026043,-0.205491,-0.236902,-0.045901,-0.031935,-0.09302,-0.056378,-0.105077,-0.131647,-0.168806,-0.034466,-0.154831,-0.213766,-0.106708,-0.006747,-0.246768,-0.416319,0.055882,-0.028865,-0.117141
0.076763,-0.023525,-0.070995,0.007971,0.029149,-0.032049,-0.077428,-0.199676,-0.091769,-0.10105,0.033122,0.010346,-0.079677,0.056531,-0.048978,0.019948,0.002481,-0.025842,-0.017106,-0.03187,-0.273032,-0.114226,-0.009755,0.020094,0.023356,-0.063931,-0.288002,0.001787,0.092638,-0.240155,-0.009919,-0.071862,-0.03506,-0.058315,-0.003463,-0.020464,-0.112594,0.042376,-0.239477,0.085852,0.022085,0.030253,0.009375,-0.107487,-0.018543,0.046112,-0.04951
0.04417,0.026432,0.06687,0.020305,0.084067,0.023787,-0.01697,-0.030087,0.03668,0.030739,0.03974,0.080725,-0.010992,0.023842,-0.061076,0.033683,0.034752,-0.012851,0.01066,0.210871,-0.427036,0.017255,0.038558,-0.00119,0.069818,-0.059535,-0.37147,-0.017183,0.076148,-0.008721,0.023275,-0.015858,-0.049652,-0.02119,0.026166,-0.106584,0.02827,0.024209,0.197606,-0.077739,-0.035709,0.053786,0.018432,-0.187912,0.181424,0.013509,-0.025906
-0.098639,0.062094,0.032337,0.03495,-0.090308,-0.01923,-0.160532,-0.293514,-0.060857,-0.108796,0.028808,0.002547,-0.08058,0.0758,0.077681,0.034098,0.045256,-0.077602,-0.154187,-0.096255,-0.422456,-0.109725,0.063866,-0.089732,0.086357,0.084887,0.534102,-0.000992,-0.151269,-0.119692,0.008004,-0.082178,-0.017413,-0.091949,-0.120987,-0.010952,-0.015235,0.096969,-0.357171,-0.199058,0.024488,0.036848,-0.05723,0.294479,-0.047788,0.011637,0.041369
0.061913,0.015456,0.067858,0.045097,0.07323,0.080292,0.095844,0.303675,-0.152885,0.109551,0.060914,0.023115,0.006824,0.119466,0.171617,0.079795,0.064956,0.031276,0.177182,0.102608,0.139175,0.100113,0.104536,0.043428,0.040413,0.00462,-0.063528,0.055847,0.034331,0.405124,0.095948,0.023491,0.022099,0.018484,-0.041985,0.245831,0.245363,0.10269,0.160231,0.228467,0.089017,0.09016,0.192713,0.182774,-0.10511,0.066701,0.047101
0.04362,0.001235,0.048213,0.079171,0.079861,0.071597,0.065633,-0.028137,-0.046664,0.060441,0.064287,0.111063,0.050972,0.123907,0.040839,0.10476,0.049444,0.253245,-0.024464,0.10844,0.164076,0.068039,0.038773,0.06799,0.178613,-0.071043,-0.011121,0.024702,0.04937,-0.026917,0.029872,0.079179,-0.044428,-0.093626,0.104067,0.063318,-0.059091,0.07941,0.054805,-0.010685,0.066933,0.020758,-0.054875,-0.118021,-0.093809,0.049507,0.060205
-0.015343,-0.016769,0.081158,0.064603,-0.044816,0.003768,-0.072858,-0.109912,0.035572,0.042752,0.035512,-0.043929,-0.04064,0.028502,0.167244,0.031118,0.00014,0.232922,-0.115673,-0.030914,-0.133265,0.020566,0.075732,-0.000834,-0.02146,-0.004654,-0.033156,0.111824,0.020111,-0.171593,0.032392,0.051848,-0.002549,0.002036,0.04612,-0.104502,0.092988,0.073392,-0.024252,-0.06785,0.04724,-0.005847,-0.098984,-0.103499,0.205607,0.010606,0.084167
-0.133197,-0.061152,0.05456,0.057309,-0.172189,-0.013231,-0.098231,-0.149651,-0.091103,-0.099856,0.076468,0.026734,-0.108127,0.006648,-0.016512,0.049784,-0.03969,0.008466,-0.151254,-0.146295,-0.42316,-0.126756,-0.045534,0.067577,0.049661,-0.057129,-0.286318,0.052252,-0.147416,-0.196165,0.049927,-0.084467,-0.071709,-0.476216,-0.029312,-0.03695,-0.130122,-0.022796,-0.500189,-0.193345,0.029082,0.041325,-0.100942,-0.320501,-0.182458,-0.021338,-0.127866
