"aid","n.word","n.image","journalist"
"A0670",727,1,"小丑女"
"A0671",964,1,"小丑女"
"A0672",1253,1,"鋼鐵人"
"A0673",792,1,"鳳凰女"
"A0674",703,1,"鳳凰女"
"A0675",692,1,"鳳凰女"
"A0676",958,1,"小丑女"
"A0677",1154,1,"鳳凰女"
"A0678",776,1,"小丑女"
"A0679",1086,0,"鳳凰女"
"A0680",1063,1,"小丑女"
"A0681",1643,2,"小丑女"
"A0682",978,1,"小丑女"
"A0683",772,1,"鋼鐵人"
"A0686",1237,1,"小丑女"
"A0687",898,1,"小丑女"
"A0690",1060,1,"鳳凰女"
"A0691",872,1,"鳳凰女"
"A0692",1130,1,"鋼鐵人"
"A0693",840,1,"鳳凰女"
"A0694",647,1,"鳳凰女"
"A0695",941,1,"鳳凰女"
"A0696",843,1,"小丑女"
"A0697",1027,1,"小丑女"
"A0698",1197,1,"鋼鐵人"
"A0699",1102,1,"鋼鐵人"
"A0700",425,1,"鋼鐵人"
"A0701",1055,1,"鳳凰女"
"A0702",1695,2,"鳳凰女"
"A0703",618,1,"鳳凰女"
"A0704",1133,1,"鋼鐵人"
"A0705",1125,2,"鋼鐵人"
"A0706",725,1,"鋼鐵人"
"A0707",944,1,"小丑女"
"A0708",948,1,"小丑女"
"A0709",908,1,"鋼鐵人"
"A0710",643,1,"其他"
"A0711",876,3,"鳳凰女"
"A0712",721,1,"鳳凰女"
"A0713",1047,1,"小丑女"
"A0715",846,1,"貓女"
"A0716",734,1,"鳳凰女"
"A0717",889,1,"鳳凰女"
"A0718",913,1,"鳳凰女"
"A0719",906,1,"鋼鐵人"
"A0720",1032,1,"鋼鐵人"
"A0721",946,1,"鋼鐵人"
"A0722",818,1,"鋼鐵人"
"A0723",943,1,"鋼鐵人"
"A0724",893,1,"貓女"
"A0725",1043,1,"小丑女"
"A0726",859,1,"小丑女"
"A0727",686,1,"小丑女"
"A0728",872,1,"鳳凰女"
"A0729",650,1,"鳳凰女"
"A0730",797,1,"貓女"
"A0731",839,1,"貓女"
"A0732",1016,1,"鋼鐵人"
"A0733",593,1,"鋼鐵人"
"A0734",950,2,"鳳凰女"
"A0735",774,1,"鳳凰女"
"A0736",1400,1,"小丑女"
"A0737",981,1,"小丑女"
"A0738",1051,1,"小丑女"
"A0739",952,1,"鳳凰女"
"A0740",883,1,"鳳凰女"
"A0741",1186,1,"鋼鐵人"
"A0742",1469,5,"鋼鐵人"
"A0743",794,1,"鋼鐵人"
"A0745",844,1,"貓女"
"A0746",1115,1,"貓女"
"A0747",924,1,"小丑女"
"A0749",684,1,"鳳凰女"
"A0750",1062,1,"鳳凰女"
"A0751",553,1,"貓女"
"A0752",980,1,"貓女"
"A0753",995,1,"鋼鐵人"
"A0754",1749,2,"小丑女"
"A0755",871,1,"小丑女"
"A0756",814,1,"貓女"
"A0757",721,1,"貓女"
"A0758",1106,1,"鳳凰女"
"A0759",1109,1,"鳳凰女"
"A0760",1092,1,"鋼鐵人"
"A0761",1064,2,"鋼鐵人"
"A0763",698,1,"鳳凰女"
"A0764",1067,1,"小丑女"
"A0765",979,1,"小丑女"
"A0766",520,1,"貓女"
"A0767",1084,1,"鳳凰女"
"A0768",703,1,"貓女"
"A0769",883,1,"貓女"
"A0770",1079,1,"小丑女"
"A0771",972,1,"鋼鐵人"
"A0772",924,2,"鋼鐵人"
"A0773",805,1,"貓女"
"A0775",1009,1,"小丑女"
"A0776",893,1,"小丑女"
"A0777",860,1,"小丑女"
"A0778",955,1,"貓女"
"A0779",864,1,"貓女"
"A0780",1014,1,"其他"
"A0781",916,1,"鋼鐵人"
"A0782",918,1,"鋼鐵人"
"A0783",886,1,"鋼鐵人"
"A0784",929,1,"貓女"
"A0785",1003,1,"小丑女"
"A0786",928,1,"小丑女"
"A0787",1004,1,"貓女"
"A0788",561,1,"貓女"
"A0789",894,1,"貓女"
"A0790",1657,2,"鳳凰女"
"A0791",808,1,"鋼鐵人"
"A0792",1111,1,"鋼鐵人"
"A0793",1394,1,"小丑女"
"A0794",630,1,"鳳凰女"
"A0795",638,1,"鳳凰女"
"A0796",589,1,"鳳凰女"
"A0797",1802,2,"鋼鐵人"
"A0798",634,1,"貓女"
"A0799",1044,1,"小丑女"
"A0800",515,1,"小丑女"
"A0801",911,1,"鋼鐵人"
"A0802",681,1,"貓女"
"A0803",640,1,"小丑女"
"A0804",596,1,"鳳凰女"
"A0807",861,1,"鋼鐵人"
"A0808",710,1,"鋼鐵人"
"A0809",646,1,"鳳凰女"
"A0810",588,1,"鳳凰女"
"A0811",685,1,"貓女"
"A0812",1241,2,"小丑女"
"A0813",638,1,"小丑女"
"A0814",981,1,"鋼鐵人"
"A0815",698,1,"貓女"
"A0816",824,1,"鳳凰女"
"A0817",987,1,"小丑女"
"A0818",985,1,"鋼鐵人"
"A0819",738,1,"鳳凰女"
"A0820",698,1,"鳳凰女"
"A0821",619,1,"貓女"
"A0822",871,1,"鳳凰女"
"A0823",667,1,"鳳凰女"
"A0824",828,1,"鋼鐵人"
"A0826",695,1,"小丑女"
"A0827",700,1,"貓女"
"A0829",808,1,"鳳凰女"
"A0830",956,1,"鋼鐵人"
"A0831",1002,1,"鋼鐵人"
"A0832",616,1,"貓女"
"A0833",751,1,"小丑女"
"A0834",917,1,"鋼鐵人"
"A0835",932,1,"貓女"
"A0836",827,1,"鋼鐵人"
"A0837",851,1,"小丑女"
"A0838",960,1,"小丑女"
"A0839",896,1,"貓女"
"A0840",957,1,"鋼鐵人"
"A0841",1021,1,"小丑女"
"A0842",797,1,"小丑女"
"A0845",857,1,"鳳凰女"
"A0846",762,1,"鳳凰女"
"A0847",856,1,"其他"
